id,sensitivity,specificity
sub-2057_ses-T1_task-rest_vol-6,0.962884292901062,0.9989097928907654
sub-2063_ses-T1_task-rest_vol-0,0.855765595463138,0.9983354115467962
sub-2063_ses-T1_task-rest_vol-1,0.8344854829152676,0.9975367671504476
sub-2063_ses-T1_task-rest_vol-2,0.7240215924426451,0.998608666194823
sub-2063_ses-T1_task-rest_vol-3,0.7111942562443119,0.9981486123653364
sub-2063_ses-T1_task-rest_vol-4,0.7736025814510253,0.9976402070099732
sub-2065_ses-T1_task-rest_vol-0,0.9658895705521472,0.999357052295083
sub-2065_ses-T1_task-rest_vol-1,0.9717826033615508,0.9995823831799568
sub-2065_ses-T1_task-rest_vol-2,0.9789420907495612,0.9992913210856
sub-2066_ses-T1_task-rest_vol-0,0.9787461569308916,0.999214418714825
sub-2066_ses-T1_task-rest_vol-1,0.9552319309600864,0.999457395016428
sub-2066_ses-T1_task-rest_vol-2,0.960169144727868,0.9994425479753404
sub-2066_ses-T1_task-rest_vol-3,0.9692161649037158,0.999298598996457
sub-2066_ses-T1_task-rest_vol-4,0.9693068019248277,0.9993729429378072
sub-2074_ses-T1_task-rest_vol-0,0.9714057871952608,0.9997200599613502
sub-2074_ses-T1_task-rest_vol-1,0.9693602693602692,0.9996597225986352
sub-2076_ses-T1_task-rest_vol-0,0.9807890665291388,0.9997329220132278
sub-2076_ses-T1_task-rest_vol-1,0.9879518072289156,0.9996161216894244
sub-2076_ses-T1_task-rest_vol-2,0.9821668007508716,0.9995982418584012
sub-2076_ses-T1_task-rest_vol-3,0.9793130884498076,0.999568152442188
sub-2076_ses-T1_task-rest_vol-4,0.9806526806526806,0.9997473015414606
sub-2076_ses-T1_task-rest_vol-5,0.9829566058261816,0.9996122854420696
sub-2076_ses-T1_task-rest_vol-6,0.9815184815184816,0.9994894649592774
sub-2076_ses-T1_task-rest_vol-7,0.9827790973871734,0.999648196480762
sub-2076_ses-T1_task-rest_vol-8,0.977238239757208,0.9997142212529142
sub-2076_ses-T2_task-rest_vol-0,0.53096942834413,0.999975917614158
sub-2076_ses-T2_task-rest_vol-1,0.6418022260273972,0.9999608018139714
sub-2076_ses-T2_task-rest_vol-2,0.7072625698324022,0.9999096499840382
sub-2076_ses-T2_task-rest_vol-3,0.653063544390133,0.9995635093845482
sub-2076_ses-T2_task-rest_vol-4,0.5786421016717844,0.9996417809806772
sub-2079_ses-T1_task-rest_vol-0,0.6683685585371646,0.9996451874793276
sub-2079_ses-T1_task-rest_vol-1,0.7787903893951947,0.9995218663451042
sub-2079_ses-T1_task-rest_vol-2,0.7680130368990804,0.999530687332469
sub-2079_ses-T1_task-rest_vol-3,0.7266557453779546,0.9996661111879824
sub-2079_ses-T1_task-rest_vol-4,0.8159074817087562,0.9992872566297164
sub-2079_ses-T2_task-rest_vol-0,0.7780999323475404,0.9995493656338368
sub-2079_ses-T2_task-rest_vol-1,0.8081052326143727,0.999585668359277
sub-2079_ses-T2_task-rest_vol-2,0.8075529277131414,0.9994916885018728
sub-2079_ses-T2_task-rest_vol-3,0.728709990300679,0.9996310654949468
sub-2081_ses-T1_task-rest_vol-0,0.9288969917958068,0.9994652469964708
sub-2081_ses-T1_task-rest_vol-1,0.9242555028053516,0.9995302623989916
sub-2081_ses-T1_task-rest_vol-2,0.9040449438202248,0.9994770340700416
sub-2081_ses-T1_task-rest_vol-3,0.9223257878384375,0.9984665038069934
sub-2081_ses-T1_task-rest_vol-4,0.8905249679897568,0.9985340731357752
